ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-11-07,01-CCDC,Mua 05 c¸i chØ thÞ ghi nhiÖt ®é ®«ng b¨ng Berlinger (H§ 0002053 ngµy 07/11/2019) - Cty c«ng nghÖ th«ng minh,331,,1149500,0
2019-11-08,12-CCDC,"Mua 01 m¸y b¬m ch×m háa tiÔn, Model 4GLX753/14-18A theo H§sè: 08-19/H§MB ngµy 16/08/2019 (H§ 0001702 ngµy 08/11/2019) - Cty T©n Huúnh Ch©u",331,,46200000,0
2019-11-11,03-CCDC,NhËp 01 bé èng b¬m hót dÞch vµ m« (H§ 0000294 ngµy 11/11/2019) - Cty H¶i Khoa,331,,8998500,0
2019-11-13,05-CCDC,NhËp CCDC (H§ 0012614 ngµy 13/11/2019) - Cty Phan Anh,331,,1960000,0
2019-11-15,06-CCDC,NhËp CCDC (H§ 0012867 ngµy 15/11/2019) - Cty Phan Anh,331,,1750000,0
2019-11-22,02-CCDC,"Mua trèng m¸y in, s÷a lçi bé scan (H§ 0000380 ngµy 22/11/2019) - Cty Nam Khang",331,,1540000,0
2019-11-22,54-PC,Chi TT tiÒn mua mµn h×nh c¶m øng ®iÖn trë 15'' sö dông t¹i C¨n tin (theo H§0000289 ngµy 15/11/2019) - C«ng ty TNHH C«ng nghÖ ViÖt 24H,1111,,6435000,0
2019-11-27,07-CCDC,NhËp CCDC (H§ 0014065 ngµy 27/11/2019) - Cty Phan Anh,331,,5700000,0
2019-11-27,08-CCDC,NhËp CCDC (H§ 0014067 ngµy 27/11/2019) - Cty Phan Anh,331,,8625000,0
2019-11-27,09-CCDC,NhËp CCDC (H§ 0014068 ngµy 27/11/2019) - Cty Phan Anh,331,,599999,0
2019-11-29,10-CCDC,NhËp CCDC (H§ 0014291 ngµy 29/11/2019) - Cty Phan Anh,331,,4650000,0
2019-11-29,11-CCDC,NhËp CCDC (H§ 0014295 ngµy 29/11/2019) - Cty Phan Anh,331,,1500000,0
2019-12-06,03-CCDC,NhËp CCDC (H§ 0015064 ngµy 06/12/2019) - Cty Phan Anh,331,,6300000,0
2019-12-13,02-CCDC,NhËp CCDC c¸c lo¹i (H§ 0000362 ngµy 13/12/2019) - Cty H¶i Khoa,331,,13765500,0
2019-12-23,01-CCDC,"Mua mùc in, trèng m¸y c¸c lo¹i (H§ 0000441 ngµy 23/12/2019) - Cty Nam Khang",331,,12320000,0
2019-12-30,04-CCDC,NhËp CCDC (H§ 0017425 ngµy 30/12/2019) - Cty Phan Anh,331,,1085000,0
2019-12-30,05-CCDC,"NhËp nguån m¸y tÝn, bµn phÝm, chuét (H§ 0000472 ngµy 30/12/2019) - Cty Thóc Kh­¬ng",331,,11990000,0
2019-12-31,018-TH,"NhËn Gi¸ trÞ C«ng cô, dông cô thuéc Dù ¸n BVXA VÜnh Long",3388,,104650000,0
2019-12-31,25-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",2422,,0,884279070
2019-12-31,26-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",2422,,0,1277245219
2019-12-31,27-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",2422,,0,187890549
2019-12-31,146-KTK,XuÊt C«ng cô dông cô dïng n¨m 2019 sang TK.242 chê ph©n bæ,2422,,0,104650000
